Name,Display Name,Brands,Brands copy
3620,3620 - TELFORD INTERNATIONAL,,
3621,3621 -  N/A,,
3622,3622 - MERLIN HOTELS,,
3623,3623 - DORINT HOTELS,,
3624,3624 -  N/A,,
3625,3625 - HOTLE UNIVERSALE,,
3626,3626 - PRINCE HOTELS,,
3627,3627 -  N/A,,
3628,3628 -  N/A,,
3629,3629 - DAN HOTELS,,
3630,3630 -  N/A,,
3631,3631 -  N/A,,
3632,3632 -  N/A,,
3633,3633 - RANK HOTELS,,
3634,3634 - SWISSOTEL,,
3635,3635 - RESO HOTELS,,
3636,3636 - SAROVA HOTELS,,
3637,3637 - RAMADA INNS,,
3638,3638 - HO JO INN,,
3639,3639 - MOUNT CHARLOTTE THISTLE,,
3640,3640 - HYATT HOTEL,,
3641,3641 - SOFITEL HOTELS,,
3642,3642 - NOVOTEL HOTELS,,
3643,3643 - STEIGENBERGER HOTELS,,
3644,3644 - ECONO LODGES,,
3645,3645 - QUEENS MOAT HOUSES,,
3646,3646 - SWALLOW HOTELS,,
3647,3647 - HUSA HOTELS,,
3648,3648 - DE VERE HOTELS,,
3649,3649 - RADISSON HOTELS,,
3650,3650 - RED ROOK INNS,,
3651,3651 - IMPERIAL LONDON HOTEL,,
3652,3652 - EMBASSY HOTELS,,
3653,3653 - PENTA HOTELS,,
3654,3654 - LOEWS HOTELS,,
3655,3655 - SCANDIC HOTELS,,
3656,3656 - SARA HOTELS,,
3657,3657 - OBEROI HOTELS,,
3658,3658 - OTANI HOTELS,,
3659,3659 - TAJ HOTELS INTERNATIONAL,,
3660,3660 - KNIGHTS INNS,,
3661,3661 - METROPOLE HOTELS,,
3662,3662 -  N/A,,
3663,3663 - HOTELES EL PRESIDENTS,,
3664,3664 - FLAG INN,,
3665,3665 - HAMPTON INNS,,
3666,3666 - STAKIS HOTELS,,
3667,3667 -  N/A,,
3668,3668 - MARITIM HOTELS,,
3669,3669 -  N/A,,
3670,3670 - ARCARD HOTELS,,
3671,3671 - ARCTIA HOTELS,,
3672,3672 - CAMPANIEL HOTELS,,
3673,3673 - IBUSZ HOTELS,,
3674,3674 - RANTASIPI HOTELS,,
3675,3675 - INTERHOTEL CEDOK,,
3676,3676 -  N/A,,
3677,3677 - CLIMAT DE FRANCE HOTELS,,
3678,3678 - CUMULUS HOTELS,,
3679,3679 - DANUBIUS HOTEL,,
3680,3680 -  N/A,,
3681,3681 - ADAMS MARK HOTELS,,
3682,3682 - ALLSTAR INNS,,
3683,3683 -  N/A,,
3684,3684 - BUDGET HOST INNS,,
3685,3685 - BUDGETEL HOTELS,,
3686,3686 - SUISSE CHALETS,,
3687,3687 - CLARION HOTELS,,
3688,3688 - COMPRI HOTELS,,
3689,3689 - CONSORT HOTELS,,
3690,3690 - COURTYARD BY MARRIOTT,,
3691,3691 - DILLION INNS,,
3692,3692 - DOUBLETREE HOTELS,,
3693,3693 - DRURY INNS,,
3694,3694 - ECONOMY INNS OF AMERICA,,
3695,3695 - EMBASSY SUITES,,
3696,3696 - EXEL INNS,,
3697,3697 - FARFIELD HOTELS,,
3698,3698 - HARLEY HOTELS,,
3699,3699 - MIDWAY MOTOR LODGE,,
3700,3700 - MOTEL 6,,
3701,3701 - GUEST QUARTERS (Formally PICKETT SUITE HOTELS),,
3702,3702 - THE REGISTRY HOTELS,,
3703,3703 - RESIDENCE INNS,,
3704,3704 - ROYCE HOTELS,,
3705,3705 - SANDMAN INNS,,
3706,3706 - SHILO INNS,,
3707,3707 - SHONEY’S INNS,,
3708,3708 -  N/A,,
3709,3709 - SUPER8 MOTELS,,
3710,3710 - THE RITZ CARLTON HOTELS,,
3711,3711 - FLAG INNS (AUSRALIA),,
3712,3712 - GOLDEN CHAIN HOTEL,,
3713,3713 - QUALITY PACIFIC HOTEL,,
3714,3714 - FOUR SEASONS HOTEL (AUSTRALIA),,
3715,3715 - FARIFIELD INN,,
3716,3716 - CARLTON HOTELS,,
3717,3717 - CITY LODGE HOTELS,,
3718,3718 - KAROS HOTELS,,
3719,3719 - PROTEA HOTELS,,
3720,3720 - SOUTHERN SUN HOTELS,,
3721,3721 - HILTON CONRAD,,
3722,3722 - WYNDHAM HOTEL AND RESORTS,,
3723,3723 - RICA HOTELS,,
3724,3724 - INER NOR HOTELS,,
3725,3725 - SEAINES PLANATION,,
3726,3726 - RIO SUITES,,
3727,3727 - BROADMOOR HOTEL,,
3728,3728 - BALLY’S HOTEL AND CASINO,,
3729,3729 - JOHN ASCUAGA’S NUGGET,,
3730,3730 - MGM GRAND HOTEL,,
3731,3731 - HARRAH’S HOTELS AND CASINOS,,
3732,3732 - OPRYLAND HOTEL,,
3733,3733 - BOCA RATON RESORT,,
3734,3734 - HARVEY/BRISTOL HOTELS,,
3735,3735 -  N/A,,
